0, 193452
1, 193246
2, 193070
3, 192904
4, 192648
5, 192486
6, 192350
7, 192101
8, 191928
9, 191734
10, 191578
11, 191394
12, 191160
13, 190983
14, 190805
15, 190616
16, 190436
17, 190248
18, 190020
19, 189836
20, 189584
21, 189505
22, 189209
23, 189101
24, 188960
25, 188758
26, 188542
27, 188334
28, 188138
29, 187921
30, 187802
31, 187647
32, 187390
33, 187208
34, 186990
35, 186820
36, 186605
37, 186418
38, 186250
39, 186055
40, 185890
41, 185669
42, 185528
43, 185325
44, 185090
45, 184928
46, 184755
47, 184561
48, 184323
49, 184126
50, 183983
51, 183818
52, 183599
53, 183386
54, 183227
55, 183033
56, 182838
57, 182611
58, 182448
59, 182318
60, 182075
61, 181898
62, 181719
63, 181570
64, 181406
65, 181122
66, 180974
67, 180775
68, 180550
69, 180427
70, 180206
71, 180069
72, 179822
73, 179667
74, 179488
75, 179237
76, 179084
77, 178889
78, 178637
79, 178533
80, 178372
81, 178134
82, 177912
83, 177726
84, 177581
85, 177411
86, 177209
87, 176996
88, 176847
89, 176608
90, 176453
91, 176294
92, 175975
93, 175844
94, 175738
95, 175453
96, 175335
97, 175075
98, 174906
99, 174788
100, 174543
101, 174305
102, 174154
103, 173955
104, 173768
105, 173568
106, 173449
107, 173236
108, 172998
109, 172797
110, 172693
111, 172467
112, 172268
113, 172112
114, 171898
115, 171724
116, 171549
117, 171331
118, 171134
119, 170966
120, 170748
121, 170552
122, 170342
123, 170166
124, 170003
125, 169835
126, 169612
127, 169374
128, 169222
129, 168999
130, 168886
131, 168669
132, 168480
133, 168275
134, 168142
135, 167880
136, 167709
137, 167541
138, 167338
139, 167171
140, 166941
141, 166762
142, 166622
143, 166396
144, 166273
145, 165981
146, 165835
147, 165652
148, 165481
149, 165294
150, 165122
151, 164929
152, 164764
153, 164521
154, 164308
155, 164125
156, 163995
157, 163791
158, 163601
159, 163352
160, 163198
161, 163027
162, 162872
163, 162633
164, 162452
165, 162260
166, 162054
167, 161921
168, 161712
169, 161499
170, 161276
171, 161078
172, 160919
173, 160732
174, 160591
175, 160399
176, 160219
177, 159985
178, 159760
179, 159553
180, 159355
181, 159158
182, 159064
183, 158925
184, 158639
185, 158429
186, 158328
187, 158082
188, 157924
189, 157657
190, 157554
191, 157350
192, 157180
193, 156997
194, 156750
195, 156576
196, 156397
197, 156183
198, 156001
199, 155826
200, 155639
201, 155477
202, 155277
203, 155069
204, 154863
205, 154704
206, 154510
207, 154353
208, 154122
209, 153937
210, 153719
211, 153576
212, 153399
213, 153205
214, 153039
215, 152817
216, 152598
217, 152450
218, 152178
219, 152053
220, 151876
221, 151720
222, 151481
223, 151284
224, 151048
225, 150895
226, 150750
227, 150517
228, 150381
229, 150106
230, 149970
231, 149728
232, 149543
233, 149435
234, 149240
235, 149045
236, 148800
237, 148651
238, 148437
239, 148266
240, 148105
241, 147859
242, 147710
243, 147553
244, 147320
245, 147120
246, 147007
247, 146737
248, 146556
249, 146371
250, 146167
251, 146032
252, 145813
253, 145631
254, 145385
255, 145234
256, 145043
257, 144857
258, 144666
259, 144550
260, 144308
261, 144155
262, 143904
263, 143761
264, 143569
265, 143356
266, 143158
267, 143033
268, 142784
269, 142531
270, 142428
271, 142284
272, 142037
273, 141842
274, 141622
275, 141488
276, 141234
277, 141058
278, 140911
279, 140676
280, 140525
281, 140388
282, 140154
283, 139963
284, 139757
285, 139610
286, 139447
287, 139185
288, 138986
289, 138799
290, 138603
291, 138455
292, 138263
293, 138025
294, 137909
295, 137653
296, 137503
297, 137252
298, 137085
299, 136901
300, 136737
301, 136558
302, 136333
303, 136215
304, 136015
305, 135729
306, 135567
307, 135446
308, 135270
309, 135059
310, 134837
311, 134713
312, 134446
313, 134308
314, 134053
315, 133871
316, 133797
317, 133556
318, 133352
319, 133178
320, 132948
321, 132805
322, 132630
323, 132424
324, 132218
325, 132044
326, 131840
327, 131624
328, 131367
329, 131291
330, 131056
331, 130845
332, 130699
333, 130438
334, 130323
335, 130156
336, 129922
337, 129754
338, 129579
339, 129414
340, 129160
341, 128933
342, 128806
343, 128559
344, 128461
345, 128229
346, 128016
347, 127855
348, 127641
349, 127470
350, 127296
351, 127123
352, 126938
353, 126651
354, 126536
355, 126277
356, 126182
357, 125937
358, 125760
359, 125579
360, 125420
361, 125212
362, 125092
363, 124865
364, 124595
365, 124509
366, 124197
367, 124086
368, 123884
369, 123689
370, 123519
371, 123298
372, 123124
373, 122991
374, 122793
375, 122599
376, 122360
377, 122175
378, 121992
379, 121812
380, 121562
381, 121388
382, 121220
383, 121047
384, 120885
385, 120640
386, 120469
387, 120312
388, 120101
389, 119907
390, 119760
391, 119523
392, 119338
393, 119189
394, 118936
395, 118767
396, 118662
397, 118414
398, 118226
399, 117996
400, 117871
401, 117700
402, 117489
403, 117271
404, 117078
405, 116920
406, 116698
407, 116512
408, 116314
409, 116186
410, 116004
411, 115684
412, 115608
413, 115406
414, 115179
415, 114957
416, 114850
417, 114615
418, 114373
419, 114242
420, 114044
421, 113858
422, 113743
423, 113478
424, 113327
425, 113059
426, 112905
427, 112756
428, 112572
429, 112381
430, 112125
431, 112041
432, 111804
433, 111618
434, 111390
435, 111207
436, 111016
437, 110826
438, 110684
439, 110483
440, 110277
441, 110079
442, 109875
443, 109728
444, 109476
445, 109327
446, 109190
447, 108920
448, 108771
449, 108560
450, 108396
451, 108192
452, 108012
453, 107833
454, 107649
455, 107426
456, 107222
457, 107110
458, 106867
459, 106652
460, 106474
461, 106334
462, 106091
463, 105882
464, 105723
465, 105569
466, 105381
467, 105177
468, 104968
469, 104781
470, 104573
471, 104413
472, 104312
473, 104056
474, 103810
475, 103707
476, 103431
477, 103315
478, 103122
479, 102883
480, 102768
481, 102538
482, 102312
483, 102228
484, 101981
485, 101736
486, 101615
487, 101375
488, 101225
489, 101036
490, 100863
491, 100584
492, 100433
493, 100316
494, 100070
495, 99854
496, 99700
497, 99529
498, 99331
499, 99126
500, 98907
501, 98789
502, 98643
503, 98366
504, 98184
505, 97950
506, 97740
507, 97604
508, 97392
509, 97197
510, 97059
511, 96878
512, 96740
513, 96496
514, 96294
515, 96086
516, 95869
517, 95778
518, 95543
519, 95385
520, 95207
521, 94990
522, 94764
523, 94546
524, 94371
525, 94177
526, 94013
527, 93849
528, 93673
529, 93494
530, 93279
531, 93089
532, 92885
533, 92685
534, 92486
535, 92306
536, 92115
537, 91951
538, 91748
539, 91573
